日期,浦发银行,上海机场,Fetching...,中国石化,中信证券,三一重工,招商银行,保利地产,中国联通,上汽集团,复星医药,恒瑞医药,万华化学,华夏幸福,贵州茅台,山东黄金,海螺水泥,海尔智家,三安光电,海通证券,伊利股份,中国神华,中国国航,兴业银行,中国铁建,中国平安,交通银行,中国中铁,工商银行,中国太保,Fetching...,中国建筑,华泰证券,Fetching...,中国石油,中国国旅,建设银行,Fetching...,Fetching...
Date,600000.SH,600009.SH,600016.SH,600028.SH,600030.SH,600031.SH,600036.SH,600048.SH,600050.SH,600104.SH,600196.SH,600276.SH,600309.SH,600340.SH,600519.SH,600547.SH,600585.SH,600690.SH,600703.SH,600837.SH,600887.SH,601088.SH,601111.SH,601166.SH,601186.SH,601318.SH,601328.SH,601390.SH,601398.SH,601601.SH,601628.SH,601668.SH,601688.SH,601766.SH,601857.SH,601888.SH,601939.SH,601988.SH,601989.SH
2010/04/30,95.6462,22.9552,93.6996,54.3953,68.9185,56.0502,94.6249,74.9548,48.5140,64.0095,41.5404,14.8117,39.7620,19.6952,21.7040,47.9344,40.4855,63.3136,34.7968,61.7586,72.4111,35.4567,76.1007,95.8698,81.1829,90.3017,95.0343,78.8932,94.2310,81.0024,82.8969,72.0590,74.3763,65.0623,38.4803,27.4716,94.1162,94.1009,49.1770
2010/05/31,95.6462,22.9552,93.6996,54.3953,68.9185,56.0502,94.6249,74.9548,48.5140,64.0095,41.5404,14.8117,39.7620,19.6952,21.7040,47.9344,40.4855,63.3136,34.7968,61.7586,72.4111,35.4567,76.1007,95.8698,81.1829,90.3017,95.0343,78.8932,94.2310,81.0024,82.8969,72.0590,74.3763,65.0623,38.4803,27.4716,94.1162,94.1009,49.1770
2010/06/30,95.6462,22.9552,93.6996,54.3953,68.9185,56.0502,94.6249,74.9548,48.5140,64.0095,41.5404,14.8117,39.7620,19.6952,21.7040,47.9344,40.4855,63.3136,34.7968,61.7586,72.4111,35.4567,76.1007,95.8698,81.1829,90.3017,95.0343,78.8932,94.2310,81.0024,82.8969,72.0590,74.3763,65.0623,38.4803,27.4716,94.1162,94.1009,49.1770
2010/07/30,95.6462,22.9552,93.6996,54.3953,68.9185,56.0502,94.6249,74.9548,48.5140,64.0095,41.5404,14.8117,39.7620,19.6952,21.7040,47.9344,40.4855,63.3136,34.7968,61.7586,72.4111,35.4567,76.1007,95.8698,81.1829,90.3017,95.0343,78.8932,94.2310,81.0024,82.8969,72.0590,74.3763,65.0623,38.4803,27.4716,94.1162,94.1009,49.1770
2010/08/31,95.7296,21.3333,94.0584,53.5311,64.9128,66.1113,94.5305,76.7735,50.8896,61.2851,39.8001,12.8911,43.2261,26.2899,21.5461,46.6335,42.4310,65.3371,40.4375,59.8175,72.1963,37.7289,79.8885,95.1061,82.3774,89.3606,94.6850,79.5027,94.5249,82.6913,85.3525,72.9831,70.5560,66.4507,38.8594,32.3842,94.3318,94.1428,48.5504
2010/09/30,95.7296,21.3333,94.0584,53.5311,64.9128,66.1113,94.5305,76.7735,50.8896,61.2851,39.8001,12.8911,43.2261,26.2899,21.5461,46.6335,42.4310,65.3371,40.4375,59.8175,72.1963,37.7289,79.8885,95.1061,82.3774,89.3606,94.6850,79.5027,94.5249,82.6913,85.3525,72.9831,70.5560,66.4507,38.8594,32.3842,94.3318,94.1428,48.5504
2010/10/29,95.8589,19.0199,94.0584,53.5975,64.9128,66.1113,94.5305,78.9179,50.8896,60.6438,40.9368,12.8911,44.3383,26.5891,22.3071,45.0701,42.0719,66.2738,25.0093,59.4209,71.4626,37.7289,77.1173,95.1061,83.5814,89.4332,94.3211,79.5027,94.3396,82.6913,84.8242,73.7250,70.5560,67.1265,38.8100,35.7923,94.3318,94.0812,48.2517
2010/11/30,95.8589,19.0199,94.2630,53.5975,61.4605,62.6670,94.3588,78.9179,50.7010,60.6438,40.9368,9.3155,44.3383,26.5891,22.3071,45.0701,42.0719,66.2738,25.0093,59.4209,71.4626,34.7612,77.1173,95.0887,83.5814,89.4332,94.3211,79.1748,94.3396,82.5232,84.8242,73.7250,67.6320,67.1265,38.8100,35.7923,94.0969,94.0812,48.2517
2010/12/31,95.8589,19.0199,94.2630,53.5975,61.4605,62.6670,94.3588,78.9179,50.7010,60.6438,40.9368,9.3155,44.3383,26.5891,22.3071,45.0701,42.0719,66.2738,25.0093,59.4209,71.4626,34.7612,77.1173,95.0887,83.5814,89.4332,94.3211,79.1748,94.3396,82.5232,84.8242,73.7250,67.6320,67.1265,38.8100,35.7923,94.0969,94.0812,48.2517
