日期,浦发银行,上海机场,民生银行,中国石化,中信证券,三一重工,招商银行,保利地产,中国联通,上汽集团,复星医药,恒瑞医药,万华化学,华夏幸福,贵州茅台,山东黄金,海螺水泥,海尔智家,三安光电,海通证券,伊利股份,中国神华,中国国航,兴业银行,中国铁建,中国平安,交通银行,中国中铁,工商银行,中国太保,中国人寿,中国建筑,华泰证券,中国中车,中国石油,中国国旅,建设银行,中国银行,中国重工
Date,600000.SH,600009.SH,600016.SH,600028.SH,600030.SH,600031.SH,600036.SH,600048.SH,600050.SH,600104.SH,600196.SH,600276.SH,600309.SH,600340.SH,600519.SH,600547.SH,600585.SH,600690.SH,600703.SH,600837.SH,600887.SH,601088.SH,601111.SH,601166.SH,601186.SH,601318.SH,601328.SH,601390.SH,601398.SH,601601.SH,601628.SH,601668.SH,601688.SH,601766.SH,601857.SH,601888.SH,601939.SH,601988.SH,601989.SH
2010/04/30,0.4650,0.1300,0.1900,0.1820,0.2300,0.5800,0.3000,0.1600,0.0180,0.4390,0.2700,0.2730,0.1500,-0.0400,1.3400,0.3800,0.4500,0.2680,0.2400,0.1200,0.1600,0.4390,0.1900,0.8200,0.1100,0.6200,0.2100,0.0800,0.1200,0.3300,0.3600,0.0500,0.1628,0.0300,0.1800,0.1243,0.1500,0.1000,0.0475
2010/05/31,0.4650,0.1300,0.1900,0.1820,0.2300,0.5800,0.3000,0.1600,0.0180,0.4390,0.2700,0.2730,0.1500,-0.0400,1.3400,0.3800,0.4500,0.2680,0.2400,0.1200,0.1600,0.4390,0.1900,0.8200,0.1100,0.6200,0.2100,0.0800,0.1200,0.3300,0.3600,0.0500,0.1628,0.0300,0.1800,0.1243,0.1500,0.1000,0.0475
2010/06/30,0.4650,0.1300,0.1900,0.1820,0.2300,0.5800,0.3000,0.1600,0.0180,0.4390,0.2700,0.2730,0.1500,-0.0400,1.3400,0.3800,0.4500,0.2680,0.2400,0.1200,0.1600,0.4390,0.1900,0.8200,0.1100,0.6200,0.2100,0.0800,0.1200,0.3300,0.3600,0.0500,0.1628,0.0300,0.1800,0.1243,0.1500,0.1000,0.0475
2010/07/30,0.4650,0.1300,0.1900,0.1820,0.2300,0.5800,0.3000,0.1600,0.0180,0.4390,0.2700,0.2730,0.1500,-0.0400,1.3400,0.3800,0.4500,0.2680,0.2400,0.1200,0.1600,0.4390,0.1900,0.8200,0.1100,0.6200,0.2100,0.0800,0.1200,0.3300,0.3600,0.0500,0.1628,0.0300,0.1800,0.1243,0.1500,0.1000,0.0475
2010/08/31,0.7910,0.2900,0.4000,0.4090,0.2600,1.1900,0.6500,0.3600,0.0391,0.6890,0.4400,0.5251,0.3600,0.0100,3.2800,0.4000,0.5100,0.8070,0.3600,0.2200,0.4300,0.9370,0.4100,1.6500,0.2700,1.3000,0.4000,0.1500,0.2500,0.4700,0.6400,0.1500,0.2661,0.0900,0.3600,0.2600,0.3000,0.2000,0.1200
2010/09/30,0.7910,0.2900,0.4000,0.4090,0.2600,1.1900,0.6500,0.3600,0.0391,0.6890,0.4400,0.5251,0.3600,0.0100,3.2800,0.4000,0.5100,0.8070,0.3600,0.2200,0.4300,0.9370,0.4100,1.6500,0.2700,1.3000,0.4000,0.1500,0.2500,0.4700,0.6400,0.1500,0.2661,0.0900,0.3600,0.2600,0.3000,0.2000,0.1200
2010/10/29,1.2930,0.4900,0.4000,0.6500,0.2600,1.1900,0.6500,0.5000,0.0391,1.1250,0.3900,0.5251,0.5800,0.0200,4.4200,0.6558,0.8900,1.1970,0.5000,0.3300,0.6900,0.9370,0.8500,1.6500,0.1600,1.7100,0.5600,0.1500,0.3800,0.4700,0.8800,0.2200,0.2661,0.1500,0.5500,0.4136,0.3000,0.3100,0.1813
2010/11/30,1.2930,0.4900,0.4900,0.6500,0.4000,0.8800,0.9900,0.5000,0.0500,1.1250,0.3900,0.7551,0.5800,0.0200,4.4200,0.6558,0.8900,1.1970,0.5000,0.3300,0.6900,1.4260,0.8500,2.4500,0.1600,1.7100,0.5600,0.2500,0.3800,0.5700,0.8800,0.2200,0.4423,0.1500,0.5500,0.4136,0.4700,0.3100,0.1813
2010/12/31,1.2930,0.4900,0.4900,0.6500,0.4000,0.8800,0.9900,0.5000,0.0500,1.1250,0.3900,0.7551,0.5800,0.0200,4.4200,0.6558,0.8900,1.1970,0.5000,0.3300,0.6900,1.4260,0.8500,2.4500,0.1600,1.7100,0.5600,0.2500,0.3800,0.5700,0.8800,0.2200,0.4423,0.1500,0.5500,0.4136,0.4700,0.3100,0.1813
