日期,浦发银行,上海机场,民生银行,中国石化,Fetching...,三一重工,招商银行,保利地产,Fetching...,上汽集团,复星医药,恒瑞医药,Fetching...,Fetching...,贵州茅台,山东黄金,Fetching...,Fetching...,Fetching...,海通证券,Fetching...,Fetching...,中国国航,兴业银行,中国铁建,Fetching...,Fetching...,中国中铁,Fetching...,Fetching...,中国人寿,中国建筑,华泰证券,中国中车,Fetching...,中国国旅,建设银行,Fetching...,中国重工
Date,600000.SH,600009.SH,600016.SH,600028.SH,600030.SH,600031.SH,600036.SH,600048.SH,600050.SH,600104.SH,600196.SH,600276.SH,600309.SH,600340.SH,600519.SH,600547.SH,600585.SH,600690.SH,600703.SH,600837.SH,600887.SH,601088.SH,601111.SH,601166.SH,601186.SH,601318.SH,601328.SH,601390.SH,601398.SH,601601.SH,601628.SH,601668.SH,601688.SH,601766.SH,601857.SH,601888.SH,601939.SH,601988.SH,601989.SH
2010/04/30,7.8981,2.9078,8.8917,7.8886,5.2092,6.9895,6.4749,7.4744,5.5947,9.6588,9.8663,2.1467,3.9619,0.5240,3.7925,1.8043,6.1932,7.1495,1.4099,4.2609,2.5196,6.7751,4.1142,9.6550,7.3415,4.7902,9.3840,7.3621,8.9542,4.6489,5.0436,8.1238,3.9993,3.7056,5.5575,2.9155,9.4345,8.7825,3.4016
2010/05/31,8.7714,3.4884,9.5443,9.2247,7.6138,7.2036,6.9839,8.3537,6.4361,10.9547,9.6449,2.0104,4.5041,0.6594,3.7105,1.6423,6.5381,6.8646,1.2958,5.3782,2.9081,7.5845,4.7345,10.2777,8.1063,5.0127,10.1695,8.3631,9.5428,5.4315,5.5582,8.9159,5.1340,3.9586,6.1977,3.2491,9.9861,8.9972,3.0614
2010/06/30,9.1980,3.9227,10.3173,10.1684,8.5900,7.1208,7.1019,9.0233,6.1825,11.4142,12.2903,2.3506,5.5260,0.7025,3.8422,1.7862,7.1408,6.7640,1.2796,6.3161,2.8437,8.1783,4.9786,10.4486,8.1063,4.8574,10.3158,9.1893,10.0129,5.1715,5.4254,9.1191,5.7542,4.0900,6.5605,2.9505,10.5386,10.8550,3.0614
2010/07/30,8.3507,3.5121,9.3052,8.9345,7.8395,5.6638,6.3634,7.0196,6.0024,9.1358,10.8298,2.1853,4.8863,0.6392,3.5288,1.8045,5.7519,5.9019,1.1428,5.6157,2.5939,7.5653,4.1746,8.9387,7.6095,4.8888,8.8698,8.2724,9.4321,5.0561,5.6047,8.3572,4.9648,3.6507,6.2787,2.4771,10.0063,10.2789,3.0986
2010/08/31,9.6620,4.1430,9.4817,9.3420,7.5571,6.8940,7.9330,7.9080,4.9147,11.7954,10.0468,2.1702,5.0986,1.4423,3.2596,1.4980,5.0567,6.3167,1.1659,5.1721,2.5073,8.0198,5.0114,10.2939,8.6071,5.5664,10.3353,8.2952,10.8382,4.5279,5.8970,11.3940,5.5389,4.5862,6.6344,2.2366,11.1345,11.4151,2.7172
2010/09/30,10.4299,4.3949,10.0209,9.3762,8.3242,6.4722,8.2944,7.6776,4.9341,11.4874,10.7546,1.9523,4.8705,1.5955,3.0761,1.1422,5.2600,6.0991,1.3097,5.5284,2.2310,8.1319,4.7332,11.4204,8.6536,4.8949,10.7274,8.5691,10.9455,4.8768,6.1079,11.8221,5.7616,4.1203,6.6996,2.2675,11.3281,11.3809,2.8114
2010/10/29,8.5526,4.6183,9.3602,9.4179,5.7105,4.2598,7.3722,6.9976,4.6417,11.6443,4.1908,2.0146,3.9583,1.5490,3.2369,1.3287,4.9475,6.2469,1.1226,3.8316,2.1008,6.7131,6.0263,9.7216,5.4470,4.4398,10.5931,7.6170,10.7608,4.1127,5.3205,12.1882,4.4279,4.4103,6.3558,2.6583,10.3392,11.4556,2.4660
2010/11/30,9.7590,5.3551,11.0725,10.3214,5.9444,4.9347,9.1422,8.2332,3.0689,13.6167,4.1215,1.7849,4.1981,1.5603,2.5785,1.4821,4.9143,6.8649,1.1340,4.8787,1.8422,8.1923,7.1666,12.0178,6.1483,4.6928,11.7553,8.8858,10.8064,4.1676,6.0509,12.9700,4.3643,3.8727,6.4247,1.9276,12.1320,11.6256,2.3108
2010/12/31,9.9953,5.2557,11.1828,10.4111,6.0530,4.9370,9.3134,7.8572,2.9140,14.6412,4.4428,1.7562,4.1893,1.7213,2.8714,1.5021,4.4341,6.0942,1.0465,4.9445,2.2139,8.0265,6.5222,12.0078,6.0576,4.7371,11.9269,8.7216,10.5898,4.2185,6.3322,13.0079,4.4533,3.4932,6.3389,2.0832,11.4431,11.4491,2.1188
2011/01/31,9.7360,4.6380,11.1605,9.3237,6.0771,4.7843,9.4462,7.7055,2.5557,12.3667,4.9746,2.1169,4.0257,1.6715,2.9670,1.7208,4.4103,6.9800,1.4308,5.0492,2.3767,8.3544,7.6325,11.1072,5.1791,5.3528,11.7977,7.5681,10.5649,4.3243,6.3620,11.8632,4.3705,2.9078,6.2278,2.2952,10.9424,11.4137,1.7729
2011/02/28,9.7436,5.0154,10.9858,9.8490,5.1807,4.2376,9.2700,8.0668,2.6514,11.6495,4.7196,2.0134,3.1477,1.5603,2.9556,1.8401,3.8025,5.5727,1.3653,4.5744,2.2082,7.6844,7.5422,11.0646,5.5576,5.3463,11.7765,7.9672,10.5401,4.3050,6.3114,12.1549,4.2519,3.2320,6.2333,2.1930,10.8970,11.4137,1.2781
