日期,Fetching...,上海机场,民生银行,中国石化,Fetching...,三一重工,招商银行,保利地产,中国联通,上汽集团,Fetching...,恒瑞医药,Fetching...,华夏幸福,贵州茅台,山东黄金,Fetching...,海尔智家,三安光电,海通证券,伊利股份,中国神华,中国国航,兴业银行,中国铁建,中国平安,交通银行,中国中铁,Fetching...,中国太保,中国人寿,中国建筑,Fetching...,中国中车,中国石油,中国国旅,Fetching...,中国银行,中国重工
Date,600000.SH,600009.SH,600016.SH,600028.SH,600030.SH,600031.SH,600036.SH,600048.SH,600050.SH,600104.SH,600196.SH,600276.SH,600309.SH,600340.SH,600519.SH,600547.SH,600585.SH,600690.SH,600703.SH,600837.SH,600887.SH,601088.SH,601111.SH,601166.SH,601186.SH,601318.SH,601328.SH,601390.SH,601398.SH,601601.SH,601628.SH,601668.SH,601688.SH,601766.SH,601857.SH,601888.SH,601939.SH,601988.SH,601989.SH
2010/04/30,,1.9300,4.7300,4.1000,2.4000,10.6200,5.6000,2.1700,0.5200,6.5600,5.0500,7.5000,4.8400,-2.0100,8.3800,8.8900,2.7200,5.0200,8.7100,2.3000,3.5600,,8.6900,6.5900,2.5800,5.2000,6.1800,2.6800,5.9700,3.6400,4.7700,1.9400,4.2400,2.0300,,2.9100,6.1275,4.9525,1.5200
2010/05/31,,1.9300,4.7300,4.1000,2.4000,10.6200,5.6000,2.1700,0.5200,6.5600,5.0500,7.5000,4.8400,-2.0100,8.3800,8.8900,2.7200,5.0200,8.7100,2.3000,3.5600,,8.6900,6.5900,2.5800,5.2000,6.1800,2.6800,5.9700,3.6400,4.7700,1.9400,4.2400,2.0300,,2.9100,6.1275,4.9525,1.5200
2010/06/30,,1.9300,4.7300,4.1000,2.4000,10.6200,5.6000,2.1700,0.5200,6.5600,5.0500,7.5000,4.8400,-2.0100,8.3800,8.8900,2.7200,5.0200,8.7100,2.3000,3.5600,,8.6900,6.5900,2.5800,5.2000,6.1800,2.6800,5.9700,3.6400,4.7700,1.9400,4.2400,2.0300,,2.9100,6.1275,4.9525,1.5200
2010/07/30,,1.9300,4.7300,4.1000,2.4000,10.6200,5.6000,2.1700,0.5200,6.5600,5.0500,7.5000,4.8400,-2.0100,8.3800,8.8900,2.7200,5.0200,8.7100,2.3000,3.5600,,8.6900,6.5900,2.5800,5.2000,6.1800,2.6800,5.9700,3.6400,4.7700,1.9400,4.2400,2.0300,,2.9100,6.1275,4.9525,1.5200
2010/08/31,12.5100,4.2000,9.5900,8.9800,4.2800,27.7300,11.9550,6.3100,1.1700,12.9500,8.0300,14.1100,11.6600,0.3800,19.5800,18.1300,6.0900,14.4200,12.9300,4.2200,9.5400,10.7300,17.9500,13.9300,6.2500,10.6000,11.7500,5.3000,11.9500,5.2000,8.5300,6.3900,5.7100,6.1900,,5.9800,12.0000,9.6950,3.6900
2010/09/30,12.5100,4.2000,9.5900,8.9800,4.2800,27.7300,11.9550,6.3100,1.1700,12.9500,8.0300,14.1100,11.6600,0.3800,19.5800,18.1300,6.0900,14.4200,12.9300,4.2200,9.5400,10.7300,17.9500,13.9300,6.2500,10.6000,11.7500,5.3000,11.9500,5.2000,8.5300,6.3900,5.7100,6.1900,,5.9800,12.0000,9.6950,3.6900
2010/10/29,12.5100,7.1400,9.5900,13.9400,4.2800,27.7300,11.9550,8.8100,1.1700,20.3100,10.3700,14.1100,18.3400,0.8400,26.0000,28.3500,10.4500,20.8300,12.9300,6.3200,14.8100,10.7300,34.5500,13.9300,3.8100,13.0300,15.9200,5.3000,17.7700,5.2000,11.7600,9.1000,5.7100,10.0600,11.2000,9.3700,12.0000,14.6250,5.6900
2010/11/30,12.5100,7.1400,13.8000,13.9400,6.4500,43.5500,17.6100,8.8100,1.4900,20.3100,10.3700,19.6400,18.3400,0.8400,26.0000,28.3500,10.4500,20.8300,12.9300,6.3200,14.8100,10.7300,34.5500,19.1800,3.8100,13.0300,15.9200,8.5800,17.7700,6.3000,11.7600,9.1000,8.8300,10.0600,11.2000,9.3700,18.6525,14.6250,5.6900
2010/12/31,12.5100,7.1400,13.8000,13.9400,6.4500,43.5500,17.6100,8.8100,1.4900,20.3100,10.3700,19.6400,18.3400,0.8400,26.0000,28.3500,10.4500,20.8300,12.9300,6.3200,14.8100,10.7300,34.5500,19.1800,3.8100,13.0300,15.9200,8.5800,17.7700,6.3000,11.7600,9.1000,8.8300,10.0600,11.2000,9.3700,18.6525,14.6250,5.6900
2011/01/31,12.5100,7.1400,13.8000,13.9400,6.4500,43.5500,17.6100,8.8100,1.4900,20.3100,10.3700,19.6400,18.3400,0.8400,26.0000,28.3500,10.4500,20.8300,17.3600,6.3200,14.8100,10.7300,34.5500,19.1800,3.8100,13.0300,15.9200,8.5800,17.7700,6.3000,11.7600,9.1000,8.8300,10.0600,11.2000,9.3700,18.6525,14.6250,5.6900
2011/02/28,12.5100,9.7400,13.8000,13.9400,6.4500,43.5500,17.6100,8.8100,1.4900,20.3100,10.3700,19.6400,18.3400,0.8400,26.0000,36.0700,10.4500,20.8300,17.3600,6.3200,14.8100,10.7300,34.5500,19.1800,3.8100,13.0300,15.9200,8.5800,17.7700,6.3000,11.7600,9.1000,8.8300,10.0600,11.2000,9.3700,18.6525,14.6250,5.6900
2011/03/31,23.2700,9.7400,18.2900,17.4300,6.4500,54.6700,17.6100,18.0200,1.7300,27.7800,11.5000,24.4500,27.7400,0.8400,30.9100,36.0700,19.3900,24.2800,17.3600,6.3200,14.8100,20.3100,40.5600,24.6400,7.8500,17.3000,20.0800,11.6900,22.7900,10.8800,16.0200,9.1000,8.8300,13.8400,15.5000,9.3700,22.6100,18.8700,5.6900
2011/04/29,23.2700,9.7400,5.7900,4.7300,17.2800,21.0200,6.4475,2.3700,0.0700,6.5800,11.5000,7.2400,7.5200,-0.3300,9.7400,10.7700,6.0700,7.2700,3.3000,2.6300,14.8100,20.3100,3.9400,5.5200,2.9200,5.0000,5.7900,11.6900,6.3600,4.2000,3.7800,2.8200,2.0700,4.8000,3.9000,9.3700,6.5475,5.0575,5.6900
