日期,浦发银行,上海机场,民生银行,中国石化,中信证券,三一重工,招商银行,保利地产,中国联通,上汽集团,复星医药,恒瑞医药,万华化学,华夏幸福,贵州茅台,山东黄金,海螺水泥,海尔智家,三安光电,海通证券,伊利股份,中国神华,中国国航,兴业银行,中国铁建,中国平安,交通银行,中国中铁,工商银行,中国太保,中国人寿,中国建筑,华泰证券,#NAME?,中国石油,中国国旅,建设银行,中国银行,中国重工
Date,600000.SH,600009.SH,600016.SH,600028.SH,600030.SH,600031.SH,600036.SH,600048.SH,600050.SH,600104.SH,600196.SH,600276.SH,600309.SH,600340.SH,600519.SH,600547.SH,600585.SH,600690.SH,600703.SH,600837.SH,600887.SH,601088.SH,601111.SH,601166.SH,601186.SH,601318.SH,601328.SH,601390.SH,601398.SH,601601.SH,601628.SH,601668.SH,601688.SH,601766.SH,601857.SH,601888.SH,601939.SH,601988.SH,601989.SH
2010/04/30,12.6590,36.1607,11.2643,13.2684,21.3717,16.8819,15.4443,15.1188,53.3958,13.9737,10.4210,48.5516,30.0683,190.8371,27.9238,59.7292,16.7076,17.2289,70.9260,24.2131,40.2163,16.9709,24.5029,10.3574,13.9246,21.5992,10.7072,14.5951,11.2335,21.8515,19.9160,18.8413,26.4173,34.2109,18.9524,47.1075,10.6072,12.0200,29.7411
2010/05/31,11.3987,30.1414,10.4941,11.3466,14.6220,16.3800,14.3187,13.5273,46.4154,12.3206,10.6602,51.8428,26.4483,151.6549,28.5406,65.6217,15.8261,17.9440,77.1724,19.1830,34.8436,15.1599,21.2924,9.7298,12.6110,20.6404,9.8801,12.8482,10.5407,18.7028,18.0721,17.1675,20.5786,32.0245,16.9945,42.2704,10.0212,11.7331,33.0456
2010/06/30,10.8699,26.8049,9.7079,10.2935,12.9604,16.5705,14.0806,12.5235,48.3191,11.8246,8.3656,44.3410,21.5576,142.3526,27.5624,60.3342,14.4904,18.2110,78.1466,16.3344,35.6319,14.0592,20.2484,9.5707,12.6110,21.3002,9.7400,11.6930,10.0458,19.6431,18.5143,16.7850,18.3605,30.9956,16.0547,46.5485,9.4959,9.7250,33.0456
2010/07/30,11.9729,29.9385,10.7637,11.7151,14.2010,20.8332,15.7149,16.0981,49.7696,14.7736,9.4938,47.6943,24.3797,156.4469,30.0100,59.7209,17.9893,20.8711,87.5066,21.2924,39.0641,15.1983,24.1484,11.1873,13.4342,21.1637,11.3279,12.9891,10.6644,20.0917,17.9222,18.3152,21.2798,34.7253,16.7753,55.4450,10.0010,10.2700,32.6491
2010/08/31,10.3497,25.6119,10.5908,11.2321,14.9712,16.3701,12.6056,14.6404,60.7227,12.6932,10.3712,48.1104,23.0805,69.3352,32.5149,72.8293,20.5651,19.4258,85.7726,20.1013,40.4034,14.4588,20.2392,9.7145,11.8505,18.5684,9.7175,13.1675,9.2777,22.4091,17.0375,13.4325,19.4912,28.1737,15.9367,60.2445,8.9872,9.2043,37.2049
2010/09/30,9.5877,24.1439,10.0210,11.1911,13.5916,17.4368,12.0563,15.0796,60.4846,13.0335,9.6887,53.4815,24.1613,62.6756,34.4548,95.5158,19.7701,20.1190,76.3579,18.8058,45.4065,14.2595,21.4287,8.7563,11.7869,21.1155,9.3623,12.7466,9.1868,20.8057,16.4492,12.9461,18.7378,31.3591,15.7817,59.4224,8.8336,9.2319,35.9578
2010/10/29,11.6964,23.0490,10.7283,11.3651,19.8126,26.4931,13.5645,16.2176,64.2946,13.9815,26.6868,51.8263,28.8493,64.5568,32.7642,80.5324,21.0300,20.6515,89.0798,27.3719,47.9344,17.2733,17.2282,10.2863,18.8274,23.2329,9.4733,14.3399,9.3410,24.6710,18.8794,12.6979,24.3818,28.9580,16.7960,49.5373,9.6786,9.1945,40.9249
2010/11/30,10.2505,19.8777,9.0841,10.3702,18.9835,22.4851,10.9383,13.7838,97.1352,11.9562,27.1353,58.0757,27.2016,64.0904,41.1305,72.1940,21.1723,18.7925,88.1838,21.4970,54.6632,14.1997,14.4869,8.3210,16.6800,21.9805,8.5368,12.2509,9.3016,24.3107,16.6005,11.9326,23.2702,32.9772,16.6159,68.3153,8.2539,9.0601,43.6721
2010/12/31,10.0081,20.2537,8.9945,10.2809,18.6429,22.4747,10.7372,14.4434,102.2979,11.1196,25.1731,59.0271,27.2584,58.0944,36.9353,71.2345,23.4651,21.1690,95.5602,21.2110,45.4853,14.4930,15.9181,8.3279,16.9297,21.7750,8.4139,12.4815,9.4918,24.0171,15.8631,11.8978,22.8048,36.5607,16.8410,63.2126,8.7508,9.1998,47.6312
2011/01/31,9.5679,22.9509,9.0124,11.4799,11.3960,23.1917,10.5863,14.7278,116.6388,13.1648,22.4820,48.9679,28.3663,59.8266,35.7444,62.1798,23.5916,18.4825,71.7793,21.0801,42.3705,13.9241,13.6026,8.4091,19.8013,19.2703,8.5060,14.3840,9.5142,23.4298,15.7887,13.0458,23.2370,43.9212,17.1412,57.3751,9.1512,9.2283,56.9232
2011/02/28,9.5604,21.3909,9.1558,10.8676,13.3681,26.1842,10.7875,11.5385,112.4321,13.9753,23.6967,51.4852,36.2782,64.0904,35.8830,57.6189,27.3628,23.1501,75.2235,23.2685,45.6042,13.8042,13.7655,8.4414,18.4529,19.2936,8.5214,13.6633,9.5366,23.5346,15.9153,12.7327,23.8852,39.5146,17.1262,64.2031,9.1893,9.2283,78.9604
2011/03/31,10.1908,19.9354,8.4941,10.4588,12.6956,25.1705,11.8101,12.4900,98.2467,12.4211,25.8431,47.4596,27.0337,64.0238,33.6044,61.0863,23.1960,18.5525,68.7266,22.4422,41.0747,15.5589,11.6268,9.2893,19.9610,21.8404,8.1993,12.7143,9.4463,22.2312,17.6434,12.8719,23.2370,33.7693,15.5711,57.1107,9.2148,8.9023,73.4477
2011/04/29,9.6972,20.8616,8.4159,9.9291,11.6327,18.9566,10.8824,11.8506,136.7728,10.9683,25.3800,44.6635,23.0088,230.5955,30.3489,52.1637,17.5733,17.1876,57.9380,20.7189,40.4446,15.8584,12.2228,8.8990,18.2620,21.4953,7.9947,12.5152,8.9716,22.6857,18.2739,11.9030,22.9213,26.2894,14.8395,59.6858,8.8691,8.4233,67.7679
2011/05/31,9.4120,18.1365,8.2928,9.2626,11.4419,17.3648,10.4685,11.0092,133.7282,9.9630,26.5374,44.5620,20.5226,269.7163,33.9264,45.5975,16.6337,15.9066,52.1951,19.3121,34.9436,14.4901,10.4720,7.7842,16.5305,20.0466,7.7394,11.7835,8.9716,20.6838,17.2202,11.1870,21.5610,25.1893,13.9524,50.8336,8.5797,8.3483,39.8527
2011/06/30,8.6867,17.3762,7.8412,9.4579,11.6467,18.6465,9.7987,12.8851,122.9550,11.2813,26.3677,43.4599,22.9927,360.2593,35.3963,45.6484,19.3687,16.9691,52.4832,19.2268,33.3799,15.3995,10.5601,7.3947,16.3682,20.5724,7.4438,11.3292,8.7749,20.9457,16.8870,12.0223,20.9998,27.0102,13.8003,49.8836,8.4095,7.8484,48.5056
2011/07/29,8.2983,17.7563,7.4443,8.9293,10.5547,17.6646,9.2944,12.2754,119.9104,10.2278,26.0284,47.1287,22.0588,470.8409,37.8482,39.9841,17.4221,15.4209,51.7151,18.1610,37.7103,15.1696,10.9565,7.3289,14.2579,18.9657,7.1092,9.9379,8.3617,19.5612,15.9503,10.8588,19.6735,22.0406,13.5342,56.1112,8.0179,7.6984,46.7468
2011/08/31,7.5423,17.1226,7.0703,8.4495,10.3840,14.1296,8.2039,10.7293,81.2007,8.6889,16.7192,43.6657,19.1407,5106.8726,32.5095,40.1599,11.3409,12.1185,30.9411,16.2375,25.5337,13.2604,10.2782,6.5389,12.9746,15.7611,6.5344,9.9974,7.6036,17.2100,15.7675,9.4324,18.3567,17.3921,12.8549,50.0323,7.3126,7.0427,27.4162
2011/09/30,6.9334,15.3298,6.5155,7.9558,9.5991,12.6073,7.6570,9.0388,85.3691,8.9869,15.1038,40.8015,17.8924,14331.8672,28.8494,32.5347,8.7906,9.9151,27.6100,15.9551,23.4336,12.4682,8.7526,6.0778,11.8797,12.9904,6.1500,9.2332,7.3097,15.3577,14.5896,9.1090,17.7164,15.3801,12.8419,42.3125,7.0099,6.6906,23.9334
2011/10/31,7.0845,16.4784,6.2876,8.3345,12.3609,12.8996,7.7766,10.0606,73.5956,8.6610,15.7052,38.9654,15.4551,9.1837,28.4722,27.6117,8.8531,10.2998,24.4279,20.4502,20.3837,12.4752,10.0761,6.0498,8.0332,16.0531,6.0825,11.6799,7.4723,15.9507,18.5961,8.1847,24.9198,18.3189,12.6100,40.9084,7.3768,6.8939,20.7377
2011/11/30,6.5384,16.7105,5.9686,8.2878,11.1398,10.6409,7.2046,8.9872,71.0252,7.1716,14.9071,41.8007,13.6326,9.2448,29.2878,26.0677,7.1580,8.4951,27.7418,17.7760,21.5599,11.7400,8.6367,5.5449,7.3837,14.6337,5.7984,10.6692,7.2475,14.6127,19.0635,7.4762,21.5227,17.0152,12.0739,41.7850,7.1778,6.6182,19.7222
2011/12/30,6.5307,15.7821,6.0612,8.3812,10.0714,10.7697,7.6288,9.7581,70.8899,8.9409,13.6303,39.7485,13.2825,8.1616,26.9510,20.3874,6.8726,8.9212,21.6894,16.6523,19.8588,11.7123,8.0432,5.6950,6.4778,14.2934,5.7855,9.4338,7.3339,15.4832,19.6311,7.1097,18.5770,14.4746,12.4313,38.3224,6.9483,6.7101,15.8460
2012/01/31,6.3146,16.1174,6.6066,9.0583,9.3744,12.2039,8.1301,9.5886,66.0196,9.5416,13.7739,35.1040,14.0753,9.5092,25.9904,25.0480,7.6279,9.2009,22.4237,21.7599,19.8685,12.4151,8.5861,5.8604,6.9393,15.9120,6.2504,9.7333,7.4391,16.9340,20.8997,7.5006,25.9053,15.3772,13.0312,36.1309,7.3003,6.8939,17.1794
2012/02/29,6.5338,16.8590,6.7816,8.8948,10.3478,12.5217,8.2715,10.1365,66.1549,9.9716,14.7475,36.1571,15.2800,9.5424,28.5070,27.0372,7.8782,10.4796,20.0984,23.3216,20.3142,12.7573,8.8513,6.0507,7.6059,16.9412,6.4829,10.3322,7.6640,16.9340,20.7996,7.9893,27.9267,16.4804,13.4268,35.3779,7.4686,7.0548,18.7609
2012/03/30,6.1048,16.6020,5.9993,8.6948,10.1528,10.7730,7.1068,10.3100,63.4887,8.0858,15.0802,33.6369,15.2445,9.3693,23.3341,24.5278,7.2152,10.2798,16.8129,23.8904,19.4748,11.3644,10.1386,5.6332,6.2204,14.8689,5.7452,9.1717,7.2577,19.9560,25.2102,7.4518,27.3047,17.3031,13.3360,33.4154,7.1344,6.6987,17.3964
2012/04/27,6.4329,16.5493,6.1081,9.7363,11.3879,12.4061,7.2860,11.6894,54.0341,8.3856,15.3906,32.8053,16.2204,9.9184,23.6723,24.0790,8.7151,10.7793,17.0621,30.1421,16.9725,11.9324,13.5433,5.4023,7.3572,16.5477,5.9647,8.6919,7.3296,22.4699,32.1636,7.3001,37.2868,17.3658,13.4488,28.1809,7.0753,6.6773,20.2140
