日期,浦发银行,上海机场,民生银行,中国石化,中信证券,三一重工,招商银行,保利地产,中国联通,上汽集团,复星医药,恒瑞医药,万华化学,华夏幸福,贵州茅台,山东黄金,海螺水泥,海尔智家,三安光电,海通证券,伊利股份,中国神华,中国国航,兴业银行,中国铁建,中国平安,交通银行,中国中铁,工商银行,中国太保,中国人寿,中国建筑,华泰证券,中国中车,中国石油,中国国旅,建设银行,中国银行,中国重工
Date,600000.SH,600009.SH,600016.SH,600028.SH,600030.SH,600031.SH,600036.SH,600048.SH,600050.SH,600104.SH,600196.SH,600276.SH,600309.SH,600340.SH,600519.SH,600547.SH,600585.SH,600690.SH,600703.SH,600837.SH,600887.SH,601088.SH,601111.SH,601166.SH,601186.SH,601318.SH,601328.SH,601390.SH,601398.SH,601601.SH,601628.SH,601668.SH,601688.SH,601766.SH,601857.SH,601888.SH,601939.SH,601988.SH,601989.SH
2010/04/30,25.9262,24.1543,25.7749,27.4963,25.9802,24.5271,26.4530,24.7577,25.5504,25.5400,24.0439,24.1848,24.2452,21.4001,25.5255,24.6606,24.9072,23.9091,23.7496,25.4283,24.0006,26.9914,25.7498,25.7296,25.3091,26.6172,26.5779,25.4268,28.0474,26.1070,27.3447,25.4956,25.3616,24.8662,28.4261,23.5597,27.8355,27.6927,24.5276
2010/05/31,25.8214,23.9722,25.7041,27.3398,25.6006,24.4969,26.3774,24.6464,25.4103,25.4141,24.0666,24.2504,24.1169,21.1703,25.5473,24.7547,24.8530,23.9497,23.8340,25.1954,23.8572,26.8785,25.6094,25.6670,25.2100,26.5718,26.4975,25.2993,27.9837,25.9514,27.2475,25.4026,25.1119,24.8002,28.3170,23.4513,27.7787,27.6685,24.6329
2010/06/30,25.7739,23.8549,25.6262,27.2424,25.4800,24.5084,26.3606,24.5693,25.4505,25.3730,23.8242,24.0941,23.9124,21.1070,25.5124,24.6707,24.7648,23.9645,23.8465,25.0347,23.8796,26.8031,25.5591,25.6506,25.2100,26.6033,26.4832,25.2051,27.9356,26.0005,27.2717,25.3801,24.9978,24.7675,28.2601,23.5477,27.7248,27.4808,24.6329
2010/07/30,25.8705,23.9655,25.7295,27.3718,25.5714,24.7374,26.4704,24.8204,25.4800,25.5957,23.9507,24.1670,24.0355,21.2014,25.5975,24.6604,24.9811,24.1009,23.9596,25.1522,23.9716,26.8810,25.7352,25.8066,25.2732,26.5969,26.6342,25.3102,27.9954,26.0231,27.2392,25.4673,25.1454,24.8811,28.3040,23.7226,27.7766,27.5353,24.6209
2010/08/31,25.8021,23.9640,25.6930,27.2935,25.4817,24.9163,26.4005,24.7289,25.4063,25.6637,24.0580,24.2165,24.0190,21.2050,25.7358,24.8279,25.1441,24.1372,24.0530,25.0946,24.1185,26.8890,25.6475,25.7583,25.2441,26.5969,26.5483,25.2590,27.9406,26.0312,27.1695,25.4026,25.0642,24.8299,28.2631,23.8400,27.7206,27.4629,24.8097
2010/09/30,25.7257,23.9049,25.6377,27.2899,25.3850,24.9794,26.3560,24.7585,25.4024,25.6902,23.9899,24.3224,24.0647,21.1040,25.7937,25.0991,25.1047,24.1723,23.9367,25.0280,24.2353,26.8751,25.7046,25.6545,25.2387,26.7254,26.5111,25.2265,27.9307,25.9569,27.1343,25.3657,25.0247,24.9370,28.2533,23.8262,27.7033,27.4659,24.7756
2010/10/29,26.0597,24.0254,25.7059,27.3729,25.7619,25.3977,26.4738,24.9015,25.4635,25.8626,24.0263,24.2909,24.2432,21.0656,25.7601,25.1636,25.2663,24.3308,24.0576,25.3517,24.1961,27.0669,25.9749,25.8155,25.2561,26.8502,26.5729,25.3443,28.0069,26.1273,27.2977,25.4192,25.2880,24.9832,28.3479,23.7847,27.7947,27.5269,24.9335
2010/11/30,25.9277,23.8774,25.6318,27.2813,25.5714,25.4197,26.3637,24.7389,25.4024,25.7061,24.0430,24.5056,24.1844,21.0583,25.9875,25.0543,25.2730,24.2365,24.0475,25.1101,24.3275,26.9002,25.8016,25.6931,25.1350,26.7948,26.4688,25.2289,28.0027,26.0183,27.1690,25.3570,25.0851,25.1131,28.3371,24.1061,27.7102,27.5122,24.9985
2010/12/31,25.9038,23.8961,25.6219,27.2727,25.5533,25.4192,26.3451,24.7856,25.4542,25.6336,23.9679,24.5218,24.1865,20.9601,25.8799,25.0409,25.3758,24.3556,24.1278,25.0967,24.1437,26.9207,25.8958,25.6939,25.1499,26.7854,26.4543,25.2475,28.0230,26.0062,27.1236,25.3541,25.0649,25.2163,28.3506,24.0285,27.7687,27.5275,25.0853
2011/01/31,25.9301,24.0211,25.6239,27.3830,25.5493,25.4506,26.3310,24.8051,25.5854,25.8024,23.8548,24.3350,24.2263,20.9895,25.8472,24.9049,25.3812,24.2199,24.1276,25.0757,24.0727,26.8806,25.7386,25.7719,25.3066,26.6632,26.4652,25.3894,28.0253,25.9814,27.1189,25.4462,25.0837,25.3997,28.3682,23.9316,27.8134,27.5306,25.2635
2011/02/28,25.9293,24.0568,25.6397,27.3282,25.7089,25.5720,26.3498,24.7593,25.5487,25.8621,23.9075,24.3851,24.4723,21.0583,25.8510,24.9785,25.5295,24.4450,24.1745,25.1745,24.1463,26.9642,25.7505,25.7757,25.2360,26.6644,26.4670,25.3380,28.0277,25.9859,27.1269,25.4219,25.1112,25.2940,28.3674,23.9771,27.8175,27.5306,25.5907
2011/03/31,25.9985,23.9863,25.7295,27.3293,25.6573,25.6745,26.4403,24.8415,25.5158,25.8621,23.8287,24.2604,24.4458,21.0573,25.8575,25.0369,25.6872,24.3542,24.0841,25.1384,24.0417,27.0839,25.6787,25.8710,25.1631,26.6584,26.4920,25.2794,28.0758,25.9715,27.1089,25.4328,25.0837,25.1716,28.4094,23.8600,27.8482,27.5580,25.5184
2011/04/29,26.0458,24.0317,25.8249,27.3422,25.6029,25.6597,26.4663,24.8197,25.5418,25.8496,23.8106,24.2678,24.4242,21.1563,25.8711,25.0126,25.6172,24.3591,23.9869,25.1050,24.0262,27.1029,25.6868,25.8879,25.1455,26.7129,26.5366,25.2636,28.0957,26.0634,27.0750,25.5083,25.0472,25.1306,28.3933,23.9041,27.8954,27.5699,25.4379
2011/05/31,26.0159,23.9715,25.8102,27.2727,25.5738,25.5720,26.4275,24.7460,25.5193,25.7535,23.7608,24.2655,24.3099,21.3130,25.9826,24.8781,25.5622,24.2817,23.8825,25.0347,24.0506,27.0584,25.5322,25.7541,25.0458,26.6431,26.5042,25.2051,28.0957,25.9711,27.0156,25.4462,24.9861,25.0879,28.3317,23.7768,27.8622,27.5610,25.3664
2011/06/30,25.9358,23.9287,25.7542,27.2935,25.5915,25.6432,26.3614,24.9034,25.4353,25.8777,23.7544,24.2405,24.4235,21.6024,26.0250,24.8792,25.7144,24.3463,23.8880,25.0302,24.0048,27.1193,25.5406,25.7028,25.0360,26.6690,26.4652,25.1658,28.0735,25.9836,26.9961,25.5182,24.9597,25.1577,28.3207,23.7579,27.8421,27.4992,25.5629
2011/07/29,25.8900,23.9503,25.7023,27.2360,25.5357,25.5891,26.3085,24.8549,25.4103,25.7797,23.7414,24.3215,24.3820,21.8701,26.0920,24.9425,25.6085,24.2507,23.8732,24.9732,24.1268,27.1043,25.5774,25.6938,24.8979,26.5877,26.4193,25.0347,28.0253,25.9153,26.9390,25.4164,24.8944,24.9543,28.3012,23.8756,27.7945,27.4799,25.5259
2011/08/31,25.8782,23.9579,25.7986,27.1818,25.5194,25.5325,26.2672,24.9025,25.3602,25.6847,23.7044,24.2775,24.3288,22.0383,26.1303,24.9469,25.4905,24.1268,23.7642,24.9165,24.1852,27.0074,25.5023,25.6916,24.7919,26.4991,26.4088,24.9262,27.9991,25.9061,26.8331,25.3772,24.7801,24.8240,28.2234,23.9662,27.7687,27.4536,25.4469
2011/09/30,25.7941,23.8473,25.7169,27.1216,25.4408,25.4185,26.1982,24.7310,25.4103,25.7184,23.6028,24.2097,24.2614,23.0702,26.0109,24.7363,25.2358,23.9261,23.6502,24.8989,24.0993,26.9458,25.3417,25.6184,24.7038,26.3058,26.3482,24.8467,27.9597,25.7923,26.7554,25.3423,24.7446,24.7010,28.2224,23.7986,27.7264,27.4023,25.3110
2011/10/31,25.8696,23.9271,25.8184,27.1515,25.6007,25.4600,26.2881,24.8395,25.4709,25.7407,23.6539,24.2027,24.2032,23.0858,26.0799,24.7254,25.3945,24.0441,23.6011,25.0391,24.2355,27.0086,25.3568,25.6893,24.7835,26.4475,26.3982,24.9198,28.0416,25.8602,26.8809,25.3334,24.7965,24.8959,28.2234,23.9276,27.8175,27.4536,25.3092
2011/11/30,25.7894,23.9411,25.7663,27.1458,25.4967,25.2675,26.2117,24.7267,25.4353,25.5520,23.6017,24.2730,24.0777,23.0925,26.1081,24.6679,25.1820,23.8515,23.7283,24.8989,24.2916,26.9478,25.2027,25.6022,24.6992,26.3549,26.3504,24.8293,28.0111,25.7726,26.9057,25.2429,24.6499,24.8220,28.1799,23.9488,27.7902,27.4128,25.2589
2011/12/30,25.7882,23.8839,25.7817,27.1570,25.3959,25.2795,26.2689,24.8090,25.4334,25.7725,23.5122,24.2226,24.0517,22.9679,26.0250,24.4221,25.1413,23.9004,23.4822,24.8336,24.2094,26.9455,25.1315,25.6289,24.5683,26.3314,26.3482,24.7062,28.0230,25.8305,26.9350,25.1926,24.5027,24.6603,28.2091,23.8623,27.7577,27.4266,25.0401
2012/01/31,25.8707,23.9049,25.8679,27.2347,25.4920,25.4045,26.3325,24.8578,25.3623,25.8375,23.5227,24.0984,24.1097,23.1207,25.9887,24.6280,25.2456,23.9313,23.5155,24.9542,24.2099,27.0037,25.1968,25.7306,24.6371,26.4387,26.4255,24.7375,28.0372,25.9200,26.9977,25.2461,24.5659,24.7208,28.2562,23.8034,27.8071,27.4536,25.1209
2012/02/29,25.9048,23.9533,25.8940,27.2165,25.5908,25.4302,26.3498,24.9133,25.3643,25.8816,23.5910,24.1279,24.1918,23.2850,26.0811,24.7044,25.2779,24.0614,23.6579,25.0236,24.3275,27.0309,25.2272,25.7625,24.7288,26.5013,26.4620,24.7972,28.0670,25.9200,26.9929,25.3093,24.6410,24.7901,28.2861,23.8927,27.8299,27.4767,25.2090
2012/03/30,25.8387,23.9380,25.8443,27.1584,25.5728,25.2577,26.2714,24.9303,25.2193,25.8201,23.5899,24.1072,24.0648,23.2667,26.0437,24.5662,25.1496,24.0422,23.4795,25.0291,24.2853,26.9564,25.0514,25.6908,24.6122,26.3917,26.3982,24.6781,28.0441,25.8346,26.8591,25.2396,24.6185,24.8388,28.2040,23.8357,27.8196,27.4469,25.1335
2012/04/27,25.8911,23.9411,25.9631,27.1584,25.6876,25.3989,26.2963,25.0329,25.2427,25.8566,23.6103,24.1350,24.1060,23.3354,26.1749,24.6351,25.2513,24.1233,23.5278,25.2616,24.2848,27.0052,25.1283,25.7625,24.7152,26.4986,26.4357,24.7863,28.0540,25.9533,26.9658,25.3423,24.7936,24.9616,28.2284,23.9600,27.8113,27.4701,25.2139
2012/05/31,25.8206,23.9488,25.9200,27.0862,25.7452,25.4546,26.2510,25.1194,25.1881,25.8784,23.7159,24.1983,24.2098,23.4506,26.2274,24.6115,25.2768,24.2116,23.7544,25.3300,24.3046,26.9719,25.1125,25.6916,24.7355,26.5272,26.3768,24.7972,28.0191,25.9290,26.9219,25.3364,24.9073,24.9435,28.1789,23.8957,27.7466,27.4636,25.1839
2012/06/29,25.7449,23.9240,25.8585,27.0277,25.6588,25.3839,26.1855,25.1170,25.0908,25.7830,23.7005,24.2928,24.0860,23.4930,26.2378,24.5677,25.0868,24.1723,23.7015,25.2483,24.2167,26.8261,25.0963,25.6650,24.7288,26.6151,26.3615,24.7259,27.9530,25.9742,26.9718,25.3304,24.7974,24.8655,28.1356,23.9355,27.6799,27.3917,25.0556
2012/07/31,25.6853,23.9081,25.8619,26.9872,25.6258,25.2280,26.0894,25.1223,25.0469,25.6729,23.7608,24.2908,24.0671,23.4506,26.2679,24.5876,25.0615,24.1251,23.6587,25.2421,24.1263,26.8122,25.0799,25.6257,24.7792,26.5818,26.3256,24.7102,27.9010,25.9519,26.9961,25.2623,24.6846,24.7761,28.1144,23.9333,27.6235,27.3593,24.9415
2012/08/31,25.6788,23.8633,25.8552,26.9855,25.4470,25.0401,26.1054,24.9305,25.1068,25.5527,23.7608,24.3378,24.0250,23.4148,26.1533,24.5885,24.9558,24.0576,23.7927,25.0949,24.1941,26.7792,24.8568,25.6120,24.6828,26.4519,26.4941,24.6821,27.9195,25.8485,26.9463,25.2330,24.5931,24.7319,28.1088,23.8975,27.6361,27.3775,24.9796
2012/09/28,25.6481,23.8482,25.8001,26.9772,25.5899,25.0123,26.1133,25.0645,25.0827,25.7291,23.7367,24.3471,24.1220,23.4779,26.2653,24.8071,25.1622,24.1384,23.8192,25.2431,24.2511,26.8494,24.8853,25.5873,24.7576,26.5284,26.4801,24.7062,27.9010,25.8822,27.0040,25.2461,24.7120,24.7616,28.1053,23.9386,27.6261,27.3483,24.9671
2012/10/31,25.6655,23.8163,25.8635,27.0165,25.5105,24.9456,26.1054,25.0965,25.0441,25.6854,23.8504,24.3385,24.1111,23.6321,26.2715,24.6908,25.1930,24.1411,23.7022,25.1695,24.2693,26.8490,24.9012,25.6192,24.8493,26.4506,26.4707,24.7789,27.9195,25.7615,26.9190,25.2363,24.6717,24.8455,28.0939,24.0112,27.6630,27.3593,24.9108
2012/11/30,25.6589,23.7996,25.9074,26.9822,25.4263,24.8486,26.0995,25.1284,24.9308,25.7675,23.7524,24.2628,24.0586,23.6827,26.1361,24.6832,25.1930,24.1233,23.6378,25.0516,24.1821,26.7922,24.8189,25.6400,24.9205,26.3889,26.4731,24.8328,27.9351,25.7487,26.9356,25.2623,24.4729,24.9126,28.0694,23.8477,27.6727,27.3702,24.8027
2012/12/31,25.9439,23.9017,26.1302,27.1215,25.7150,25.1105,26.4159,25.2988,25.0299,25.9937,23.8804,24.3401,24.2424,23.9380,26.1032,24.7179,25.3059,24.3062,23.7066,25.3107,24.2826,26.9462,25.0716,25.9164,25.0058,26.6053,26.6282,24.8938,28.0024,26.0409,27.1283,25.4854,24.7284,24.9496,28.1345,23.9067,27.7708,27.4266,24.9713
2013/01/31,26.0899,23.9670,26.4016,27.1430,25.8427,25.1938,26.4551,25.2704,25.0580,25.9496,23.9233,24.4214,24.3033,23.8546,25.9476,24.6967,25.3881,24.3512,23.5962,25.4600,24.5930,26.9142,25.0649,26.2567,24.9989,26.6679,26.7173,24.9388,28.0617,26.0024,27.0907,25.4192,24.7965,24.9271,28.1586,23.9244,27.8482,27.4928,25.0063
2013/02/28,26.0526,23.9602,26.4064,27.1976,25.8071,25.2208,26.3826,25.2397,25.0469,25.9472,23.9810,24.4306,24.3440,23.8449,25.9255,24.6400,25.3556,24.2937,23.6845,25.5100,24.6664,26.8468,25.0085,26.2542,24.9676,26.6438,26.6463,24.9036,28.0176,25.9340,27.0040,25.4829,24.8539,24.9147,28.1356,23.9717,27.7945,27.4569,25.0990
2013/03/29,25.9648,23.9789,26.3344,27.2195,25.6217,25.0602,26.3310,25.1293,25.0384,25.8181,24.0232,24.4504,24.3953,23.7910,25.8898,24.5696,25.2270,24.2590,23.7015,25.2970,24.8053,26.7945,25.0103,26.1157,24.8593,26.5243,26.5806,24.8116,27.9788,25.8337,26.9069,25.3394,24.6973,24.7567,28.0950,24.0913,27.7665,27.4266,25.0002
2013/04/26,25.9398,23.9153,26.3529,27.1259,25.6420,25.0319,26.2922,25.1423,25.0497,25.8248,23.9904,24.3527,24.4171,23.8441,25.9197,24.5459,25.2593,24.2660,23.7354,25.3546,24.7252,26.7334,24.9491,26.1642,24.8730,26.4763,26.5634,24.8080,27.9789,25.8591,26.8839,25.3599,24.7120,24.7294,28.0706,24.0239,27.7816,27.4093,24.8416
2013/05/31,25.9978,23.9922,26.4160,27.1274,25.6869,24.9771,26.4035,25.2120,25.1015,25.8727,24.0517,24.3805,24.3629,24.1169,26.0444,24.5459,25.2182,24.2550,24.0351,25.4775,24.6797,26.7329,24.9643,26.1849,24.8710,26.4713,26.5806,24.8293,28.0105,25.8511,26.8767,25.4515,24.7945,24.8298,28.0753,24.0717,27.8134,27.4368,24.9174
