日期,浦发银行,上海机场,民生银行,中国石化,中信证券,三一重工,招商银行,保利地产,中国联通,上汽集团,复星医药,恒瑞医药,万华化学,华夏幸福,贵州茅台,山东黄金,海螺水泥,海尔智家,三安光电,海通证券,伊利股份,中国神华,中国国航,兴业银行,中国铁建,中国平安,交通银行,中国中铁,工商银行,中国太保,中国人寿,中国建筑,华泰证券,中国中车,中国石油,中国国旅,建设银行,中国银行,中国重工
Date,600000.SH,600009.SH,600016.SH,600028.SH,600030.SH,600031.SH,600036.SH,600048.SH,600050.SH,600104.SH,600196.SH,600276.SH,600309.SH,600340.SH,600519.SH,600547.SH,600585.SH,600690.SH,600703.SH,600837.SH,600887.SH,601088.SH,601111.SH,601166.SH,601186.SH,601318.SH,601328.SH,601390.SH,601398.SH,601601.SH,601628.SH,601668.SH,601688.SH,601766.SH,601857.SH,601888.SH,601939.SH,601988.SH,601989.SH
2010/04/30,4.5859,8.8786,3.4204,0.5622,8.4865,2.1545,5.5848,2.2693,0.7759,0.7084,6.7457,9.7754,4.6176,10.9323,11.9422,2.1913,2.5315,0.6125,39.1302,10.6256,1.0111,4.1546,2.7940,4.3189,0.2619,2.5088,4.0093,0.2976,4.6818,1.8691,2.1189,0.4236,10.6260,1.2239,1.9149,2.5703,4.4291,4.2676,2.3702
2010/05/31,4.1293,7.4007,3.1865,0.4807,5.8062,2.0904,5.1778,2.0305,0.6744,0.6246,6.9005,10.4380,4.0617,8.6877,12.2059,2.4074,2.3979,0.6379,42.5764,8.4182,0.8760,3.7113,2.4279,4.0572,0.2372,2.3974,3.6996,0.2619,4.3930,1.5998,1.9227,0.3860,8.2775,1.1457,1.7171,2.3063,4.1844,4.1658,2.6336
2010/06/30,3.9377,6.5815,2.9478,0.4361,5.1464,2.1147,5.0917,1.8798,0.7021,0.5995,5.4152,8.9276,3.3106,8.1548,11.7876,2.2134,2.1955,0.6474,43.1139,7.1681,0.8958,3.4418,2.3089,3.9908,0.2372,2.4741,3.6471,0.2384,4.1868,1.6802,1.9697,0.3774,7.3853,1.1089,1.6221,2.5398,3.9651,3.4528,2.6336
2010/07/30,4.3373,7.3509,3.2684,0.4963,5.6391,2.6588,5.6827,2.4164,0.7232,0.7490,6.1455,9.6028,3.7440,8.9622,12.8344,2.1909,2.7257,0.7419,48.2778,8.2281,0.9821,3.7207,2.7536,4.6649,0.2527,2.4582,4.2417,0.2648,4.4446,1.7186,1.9067,0.4118,8.5595,1.2423,1.6949,3.0252,4.1760,3.6463,2.6020
2010/08/31,3.7436,6.9217,3.0703,0.4083,5.5718,2.5522,4.8930,2.1167,0.6580,0.6224,6.5695,9.4813,3.3233,8.8414,14.0302,1.9959,3.0099,0.6597,45.0946,7.7679,1.1122,3.5545,2.1839,4.0327,0.2272,2.7184,3.6214,0.2389,3.9754,1.6455,1.7994,0.3505,7.2314,1.0865,1.4599,3.0389,3.7761,3.2845,3.1385
2010/09/30,3.4680,6.5250,2.9051,0.4068,5.0584,2.7186,4.6798,2.1802,0.6554,0.6391,6.1372,10.5398,3.4789,7.9922,14.8673,2.6177,2.8935,0.6832,40.1449,7.2672,1.2500,3.5055,2.3123,3.6349,0.2259,3.0913,3.4891,0.2313,3.9364,1.5277,1.7372,0.3378,6.9519,1.2093,1.4457,2.9975,3.7115,3.2944,3.0333
2010/10/29,4.4804,6.8472,3.1102,0.4111,7.3737,4.1305,5.2652,2.2638,0.6967,0.6359,6.1699,10.2136,3.9538,6.9058,13.7601,2.6323,3.1654,0.7114,38.1305,10.1697,1.1287,4.2464,2.5874,4.2701,0.2150,3.6566,3.4898,0.2602,4.0284,1.8115,1.9883,0.3310,9.0459,1.1775,1.4794,2.4275,4.0666,3.3911,3.4362
2010/11/30,3.9265,5.9051,2.6687,0.3751,6.6390,3.6908,4.3378,1.9241,0.6381,0.5437,6.2736,12.0932,3.7280,6.8560,17.2737,2.3597,3.1868,0.6474,37.7470,7.9869,1.2872,3.3633,2.1757,3.4685,0.1904,3.4595,3.1448,0.2267,4.0115,1.5565,1.7483,0.3110,9.4782,1.3410,1.4635,3.3478,3.5534,3.3415,3.6668
2010/12/31,3.8337,6.0168,2.6424,0.3719,6.5199,3.6891,4.2580,2.0162,0.6720,0.5057,5.8200,12.2913,3.7358,6.2146,15.5119,2.3284,3.5319,0.7293,40.9045,7.8807,1.0711,3.4327,2.3907,3.4714,0.1933,3.4271,3.0995,0.2309,4.0935,1.5377,1.6706,0.3101,9.2886,1.4867,1.4834,3.0977,3.7673,3.3930,3.9993
2011/01/31,3.6594,6.8181,2.6477,0.4152,4.5475,3.8068,4.1982,2.0558,0.7662,0.5987,5.1978,10.1967,3.8876,6.3998,15.0117,2.0324,3.5509,0.6367,34.8878,7.8954,0.9977,3.2980,2.0429,3.5833,0.2261,3.0329,3.1335,0.2661,4.1031,1.5001,1.6628,0.3401,9.4647,1.7860,1.5098,2.8116,3.9397,3.4035,4.7794
