日期,浦发银行,上海机场,民生银行,中国石化,中信证券,三一重工,招商银行,保利地产,中国联通,上汽集团,复星医药,恒瑞医药,万华化学,华夏幸福,贵州茅台,山东黄金,海螺水泥,海尔智家,三安光电,海通证券,伊利股份,中国神华,中国国航,兴业银行,中国铁建,中国平安,交通银行,中国中铁,工商银行,中国太保,中国人寿,中国建筑,华泰证券,中国中车,中国石油,中国国旅,建设银行,中国银行,中国重工
Date,600000.SH,600009.SH,600016.SH,600028.SH,600030.SH,600031.SH,600036.SH,600048.SH,600050.SH,600104.SH,600196.SH,600276.SH,600309.SH,600340.SH,600519.SH,600547.SH,600585.SH,600690.SH,600703.SH,600837.SH,600887.SH,601088.SH,601111.SH,601166.SH,601186.SH,601318.SH,601328.SH,601390.SH,601398.SH,601601.SH,601628.SH,601668.SH,601688.SH,601766.SH,601857.SH,601888.SH,601939.SH,601988.SH,601989.SH
2010/04/19,79.3749,45.4671,77.8155,16.4522,83.0807,266.4022,49.5936,88.6161,8.3879,88.3278,188.5265,338.2779,401.0580,35.4102,672.6722,410.1635,47.3908,153.1662,143.5551,283.7874,351.3474,28.3072,13.1551,32.5736,8.0586,50.3758,8.1503,5.4300,4.9685,26.5851,28.2539,4.0800,20.0200,5.2493,13.0240,17.9800,5.5876,4.2957,6.7000
2010/04/20,79.2976,45.3898,77.9254,16.1048,83.0807,264.0447,48.8847,88.6161,8.2299,85.5516,198.9728,349.3103,394.4920,33.6429,660.5221,416.8849,47.3425,145.4275,146.2296,271.6223,368.9251,28.2154,13.6817,31.7875,8.0384,51.8192,8.1503,5.4000,4.9152,27.1725,28.3773,4.0500,19.7600,5.2493,12.9510,18.2400,5.5666,4.3063,6.8000
2010/04/21,80.5331,46.3172,78.5848,16.2256,83.0807,267.3627,49.4924,88.9827,8.4023,87.9113,209.5835,349.6830,404.6072,32.4292,681.2324,420.2724,48.0427,147.2664,155.3735,274.2834,381.6431,28.7562,14.2488,32.2172,8.0889,53.2524,8.2142,5.4200,4.9578,28.1308,28.6446,4.0700,19.9400,5.3498,13.0970,18.7300,5.6085,4.3169,6.8500
2010/04/22,77.9464,46.4718,76.4966,15.8932,83.0807,265.4418,47.8719,87.7781,8.2299,86.8471,212.4624,353.6338,394.1371,30.8110,683.7177,426.8862,47.4270,148.7222,152.4821,266.6803,380.2989,28.1541,14.3501,30.8967,7.9677,52.9965,7.8093,5.3200,4.8832,27.7083,27.9249,4.0200,19.3300,5.2392,12.8676,19.1200,5.4408,4.2533,6.7400
2010/04/23,78.7186,46.1369,76.0569,15.6062,83.0807,263.6081,47.8381,88.3019,8.0432,84.1173,205.6354,349.4594,383.8445,29.2779,661.9488,412.5294,47.4270,143.8950,147.9644,264.3994,369.3387,28.0827,14.1273,30.9281,8.0788,52.9965,7.6602,5.4100,4.8512,27.7908,27.8941,4.0600,19.3600,5.2493,12.7738,19.1500,5.4198,4.2851,6.6800
2010/04/26,78.9888,47.1158,75.3975,15.4702,83.0807,262.6476,47.4330,87.9352,8.3161,86.2456,202.3452,343.3469,368.2281,27.8086,630.1929,412.7983,46.7148,141.0600,145.2538,259.0772,354.5528,27.9500,13.9956,30.6347,8.0687,51.8909,7.5963,5.3800,4.8299,26.6264,27.4828,4.0200,19.0200,5.2794,12.7216,19.1700,5.3884,4.2851,6.7000
2010/04/27,77.6376,45.3125,74.0786,15.0925,83.0807,247.7165,46.5890,86.9080,8.5603,86.0143,205.2241,337.5325,351.9018,29.1288,611.8758,401.7215,45.1335,135.0836,142.7238,249.0030,337.9056,27.1133,13.7019,30.2364,7.9576,50.8160,7.4471,5.2200,4.7552,25.6990,27.1743,3.9300,18.3700,5.3398,12.4297,18.8300,5.3464,4.2851,6.5700
2010/04/28,77.6376,43.4063,73.8587,15.1530,83.0807,251.7331,46.6565,85.2643,8.4454,88.5128,201.8517,341.7814,351.9018,29.7676,608.1019,407.6363,44.2161,141.8262,144.8201,248.8129,343.6959,26.8684,13.3475,30.1106,7.9475,50.1506,7.4578,5.1800,4.7766,25.1838,26.8351,3.9100,18.3300,5.4202,12.5027,19.8300,5.3779,4.2957,6.5300
2010/04/29,77.9464,41.6030,75.2876,15.0472,83.0807,246.6687,47.3655,84.8534,8.3161,87.5874,188.5265,327.7673,355.8059,28.7242,617.8588,397.7425,44.4938,137.8419,142.7238,245.3915,344.2129,26.7357,13.3475,30.1211,7.9071,49.6081,7.4684,5.1600,4.7872,25.3177,26.8762,3.9100,18.0100,5.3901,12.4609,19.0200,5.4513,4.3593,6.5000
